Quebra;Código do Produto;Descrição do Produto;Embalagem;Código da Situação Fiscal;Venda Anterior;Oferta Anterior;Funcionário Anterior;Venda Atual;Oferta Atual;Funcionário Atual;Dias;Preço;%
NENHUMA;6407;VINHO R. MONTECCHIO LAMBRUSCO 750ML;UN;1;;;;41,99;39,99;16;;;
NENHUMA;15842;VINHO R. NUCOS RAPAZ 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;14904;VINHO R. PORTA 6 750ML;UN;324;;;;65,99;59,99;16;;;
NENHUMA;11789;VINHO R. PUERTO REAL RES. 750ML;UN;1;;;;29,99;26,99;16;;;
NENHUMA;2556;VINHO R. STA CAROLINA  RESERVADO750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;7870;VINHO R. VINHA MOR 750ML;UN;1;;;;59,99;49,99;16;;;
NENHUMA;11080;VINHO R. YELLOW TAIL PINK MOSCATO 750ML;UN;1;;;;98,99;89,99;16;;;
NENHUMA;15959;VINHO R.GRACIEMA SED. ICE;UN;1;;;;23,99;23,99;16;;;
NENHUMA;15723;VINHO T. 120 ST. RITA RES. CARMENERE 750ML;UN;1;;;;48,99;39,99;16;;;
NENHUMA;14468;VINHO T. 7 COLORES RES. CAB.SAUV/ PAIS 750ML;UN;1;;;;72,99;59,99;16;;;
NENHUMA;13496;VINHO T. ANAKENA CARMENERE 750ML;UN;1;;;;39,99;39,99;16;;;
NENHUMA;14998;VINHO T. ANTICO ROSONE MONTEPULCIANO 750ML;UN;1;;;;68,99;49,99;16;;;
NENHUMA;14999;VINHO T. ANTICO ROSONE PRIMITIVO 750ML;UN;1;;;;95,99;79,99;16;;;
NENHUMA;9494;VINHO T. B. COOPEG SUAVE ORG. 750ML;UN;1;;;;35,90;29,99;16;;;
NENHUMA;8538;VINHO T. CASTELO D.BORBA DOC ALENTEJO 750ML;UN;1;;;;62,99;69,99;23;;;
NENHUMA;11082;VINHO T. CRIOS MALBEC 750ML;UN;1;;;;113,99;99,99;16;;;
NENHUMA;8200;VINHO T. EMILIA NIETO SENETINER MALB. 750ML;UN;1;;;;79,99;69,99;16;;;
NENHUMA;15841;VINHO T. EXTRAVAGANTE 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;9583;VINHO T. HORIZONTE 750ML;UN;1;;;;32,99;24,99;16;;;
NENHUMA;5781;VINHO T. LA CASADA PRIMITIVO 750ML;UN;1;;;;69,99;69,99;23;;;
NENHUMA;5394;VINHO T. LA LINDA CAB. SAUV. 750ML;UN;1;;;;89,99;74,99;23;;;
NENHUMA;5393;VINHO T. LA LINDA MALBEC 750ML;UN;1;;;;89,99;74,99;23;;;
NENHUMA;14664;VINHO T. LA UMBRA FETEASCA NEAGRA 750ML;UN;1;;;;72,99;59,99;23;;;
NENHUMA;12512;VINHO T. LACERTILIA TANNAT 750ML;UN;1;;;;72,99;59,99;16;;;
NENHUMA;11386;VINHO T. LATITUD 33 CAB. SAUV. 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;11577;VINHO T. LATITUD 33 MALBEC 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;11679;VINHO T. LOS INTOCABLES BLACK MALBEC 750ML;UN;1;;;;156,99;139,99;16;;;
NENHUMA;13748;VINHO T. MASTER FAN CLUB MALBEC 750ML;UN;1;;;;49,99;46,99;16;;;
NENHUMA;11366;VINHO T. MEIA PALAVRA 750ML;UN;1;;;;48,90;46,99;16;;;
NENHUMA;13754;VINHO T. MI TERRUNO CAB.SAUV. 750ML;UN;1;;;;67,99;59,99;16;;;
NENHUMA;5782;VINHO T. MI TERRUNO MALBEC 750ML;UN;1;;;;67,99;59,99;16;;;
NENHUMA;6408;VINHO T. MONTECCHIO LAMBRUSCO 750ML;UN;1;;;;41,99;39,99;16;;;
NENHUMA;468;VINHO T. NEDERBURG CAB. SUAV. 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;13629;VINHO T. NOBILDUCA CHIANTI 750ML;UN;1;;;;114,99;99,99;16;;;
NENHUMA;11402;VINHO T. NUCOS RAPAZ CAB. SAUV. 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;11403;VINHO T. NUCOS RAPAZ RED BLEND 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;15845;VINHO T. NUCOS RAPAZ SYRAH 750ML;UN;1;;;;27,99;21,99;16;;;
NENHUMA;11768;VINHO T. PACHECO PEREDA CAB.SAUV. SEL.750ML;UN;1;;;;91,99;79,99;16;;;
NENHUMA;15499;VINHO T. PEDRA DO URSO 750ML;UN;1;;;;24,99;24,99;23;;;
NENHUMA;15498;VINHO T. PEDROSO 750ML;UN;1;;;;29,99;29,99;16;;;
NENHUMA;6869;VINHO T. PORTA 6 750ML;UN;324;;;;59,99;59,99;16;;;
NENHUMA;14612;VINHO T. PORTADA RESERVA 750ML;UN;1;;;;92,99;79,99;16;;;
NENHUMA;8933;VINHO T. PUERTO REAL RES. CAB. SAUV. 750ML;UN;1;;;;29,99;26,99;16;;;
NENHUMA;8932;VINHO T. PUERTO REAL RES. CARMENERE 750ML;UN;1;;;;29,99;26,99;16;;;
NENHUMA;13888;VINHO T. PUERTO REAL RES. MERLOT 750ML;UN;1;;;;29,99;26,99;16;;;
NENHUMA;8550;VINHO T. Q. DO ENCONTRO BLEND 750ML;UN;1;;;;55,90;49,99;16;;;
NENHUMA;2298;VINHO T. QUINTA DO MORGADO SUAVE 1L;UN;1;;;;23,99;22,99;13;;;
NENHUMA;13738;VINHO T. RES. QUINTA DAS TECEDEIRAS  750ML;UN;1;;;;301,99;299,99;16;;;
NENHUMA;4543;VINHO T. ROCCASTELLA TINTO 750ML;UN;1;;;;59,90;49,99;16;;;
NENHUMA;1683;VINHO T. STA CAR. RES. E.L CAB. SAUV. 750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;8568;VINHO T. STA CAR. RES. EL. MERLOT 750ML;UN;1;;;;24,99;24,99;23;;;
NENHUMA;979;VINHO T. STA CAROLINA CAB. SAUV. 750ML;UN;1;;;;25,99;25,99;16;;;
NENHUMA;978;VINHO T. STA CAROLINA MERLOT 750ML;UN;1;;;;25,99;25,99;16;;;
NENHUMA;4140;VINHO T. STA CAROLINA RES. MALBEC 750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;8721;VINHO T. STA CAROLINA SUAVE RES. 750ML;UN;1;;;;25,99;25,99;23;;;
NENHUMA;10656;VINHO T. TERRANOBLE CAB. SAUV. 750ML;UN;1;;;;76,90;69,99;16;;;
NENHUMA;15501;VINHO T. TERRAS DO MONTE L. EQUILIBRIUM 750ML;UN;1;;;;29,99;29,99;23;;;
NENHUMA;15502;VINHO T. TERRAS DO MONTE L. SUPREME 750ML;UN;1;;;;29,99;29,99;23;;;
NENHUMA;3081;VINHO T. TRAPICHE CAB. SAUV. 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;3335;VINHO T. TRAPICHE MALBEC 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;406;VINHO T. TRAPICHE MERLOT 750ML;UN;1;;;;54,99;49,99;16;;;
NENHUMA;15733;VINHO T. TRES MEDALLAS CAB. SAUV.750ML;UN;1;;;;36,99;29,99;16;;;
NENHUMA;15734;VINHO T. TRES MEDALLAS CARMENERE 750ML;UN;1;;;;36,99;29,99;16;;;
NENHUMA;11243;VINHO T. VINHA DO AQUEDUTO 750ML;UN;1;;;;32,99;29,99;16;;;
NENHUMA;7868;VINHO T. VINHA MOR 750ML;UN;1;;;;59,99;49,99;16;;;
NENHUMA;12491;VINHO T. YELLOW TAIL CAB. SAUV. 750ML;UN;324;;;;94,99;89,99;16;;;
NENHUMA;11083;VINHO T. YELLOW TAIL SHIRAZ 750ML;UN;324;;;;101,99;89,99;16;;;
NENHUMA;15897;VINHO T.120 CAB. SAUV.RES.ESP.750ML;UN;1;;;;49,99;39,99;16;;;
NENHUMA;15898;VINHO T.120 MERLOT RES.ESP.750ML;UN;1;;;;49,99;39,99;16;;;
NENHUMA;12995;WAFER KITKAT WHITE 41.5G;UN;1;;;;3,59;1,79;23;;;
NENHUMA;15982;WAFER RECH. HANUTA 22G;UN;1;;;;3,99;3,99;23;;;
NENHUMA;15267;WAFFER TRONKY KINDER 18G;UN;1;;;;4,59;3,99;23;;;
NENHUMA;5103;WHISKEY JACK DANIELS 1L;UN;1;;;;179,99;149,99;16;;;
NENHUMA;9265;WHISKEY JACK DANIELS HONEY 1L;UN;1;;;;179,99;149,99;16;;;
NENHUMA;14762;WHISKY BALLANTINES 12Y 1L;UN;1;;;;159,99;129,99;16;;;
NENHUMA;3333;WHISKY BALLANTINES 1L;UN;1;;;;88,99;79,99;16;;;
NENHUMA;542;WHISKY BALLANTINES 750ML;UN;1;;;;69,99;59,99;16;;;
NENHUMA;14913;WHISKY BUCHANAN'S 750ML;UN;1;;;;169,99;98,00;16;;;
NENHUMA;15668;WHISKY BUCHANAN'S DELUXE 1L;UN;1;;;;199,99;179,99;16;;;
